"Venue","Review Rating","Sentence","ContextIndependence","FactoidType"
,,"There was a clear change of shift, and I found it a bit harsh.",FALSE,"(none)"
,,"Suddenly all the people who were studying seemed to want to leave... it was the middle of the afternoon and we were all squinting to see what we were writing.",FALSE,"(none)"
,,"So, as I ask the new girl to make my tea to go, I see the basement (the wine bar) nice and bright.",FALSE,"(none)"
,,"I ask if I can go down there and do.",FALSE,"(none)"
,,"The WINE BAR section was bright with soft music.",FALSE,"fact :: practical"
,,"I was really confused.",FALSE,"(none)"
,,"I sit down, continue there.",FALSE,"(none)"
,,"Half an hour later they start blasting Lady GaGa as if it were 2 AM at a major club.",FALSE,"(none)"
,,"At 4:30 pm.",FALSE,"(none)"
,,"WTF?",FALSE,"(none)"
,,"Indication of approaching old hag life cycle stage, Friend and I had every intent to go out Saturday night only to find ourselves exhausted at midnight.",FALSE,"(none)"
,,"Decided to hit a tea joint for pots of tea instead.",FALSE,"(none)"
,,"I ordered the white tea white grapes and she the honey bush.",FALSE,"fact :: practical"
,,"Both pots were extremely fragrant.",FALSE,"judgement :: positive"
,,"My white tea, though strongly white grape scented, was only slightly fruity, soothing, mellow, pure tasting.",FALSE,"judgement :: positive"
,,"Had a sip of my friend's honey bush which was more robust in flavor but still clean and subtle.",FALSE,"judgement :: positive"
,,"Dimly lit with tiny flickering candles, mismatched chairs, shabby chic decor.",FALSE,"fact :: practical"
,,"Cute looking spot for a date or for 1 am chat sessions with your old hag friends, whichever.",TRUE,"judgement :: positive"
,,"The tea selection is great.",TRUE,"judgement :: positive"
,,"The location is great.",FALSE,"judgement :: positive"
,,"The prices are completely absurd.",FALSE,"(none)"
,,"Decent tea selection and home-like interior with friendly staff and ""rough around edges"" historical setting but I don't think I'd venture far into the baked goods menu or eating options with so many better coffee roasting and cafe settings around. ""Tea Spot"" and ""Wine Spot"" marketing effects seemed to have faded into a single service dining establishment with cozy seating.",FALSE,"fact :: practical"
,,"I don't know why this place has such great reviews.",FALSE,"(none)"
,,"I came here with a best friend of mine before an event.",FALSE,"(none)"
,,"Upon entertaining I was wondering where the hell I was...",FALSE,"(none)"
,,"This place is like an awful mix of a New Orleans bar, basement, and pirates of the Caribbean (for the dungeon like feeling in the basement).",FALSE,"(none)"
,,"The lights were wrapped with paper bags and if you think it sounds somewhat cool and hipster... it's not.",FALSE,"(none)"
,,"They have two signs outside and i suppose one flooor is for wine and the other is for tea...not much of a difference because its the same Menu.",FALSE,"(none)"
,,"It's not a ""tea spot"", nor is it a ""wine spot"" so do not be fouled by its name.",FALSE,"judgement"
,,"It's a run down bar with a basement you can drink tea on worn out couches.",FALSE,"(none)"
,,"You would think a place like this would have dive worthy prices...no, it was on the pricey side for below average, watery tasting Pinot noir, and crap early grey that came in something like a dirty Mr.",FALSE,"judgement"
,,"Coffee filter (I have better tea in my pantry).",FALSE,"(none)"
,,"Half the wine and tea options were crossed out on the menu with a sharpie marker.",FALSE,"(none)"
,,"Perhaps, the crossed out selections of Pinot and tea are better.",FALSE,"(none)"
"#Bagel Bob’s",0.80,"I will never know because the night I went there were only two wine options.... and tea was slim pickings.",FALSE,"(none)"
,,"The menu was so random.",TRUE,"(none)"
,,"They offered scones, French cheeses, Italian food, and Thai chicken satay.",TRUE,"fact :: practical"
,,"The bread with olive oil was the only redeeming point.",FALSE,"fact :: practical"
,,"It was warm, and had tasty olive oil.",FALSE,"judgement :: positive"
,,"There are much better places in this neighborhood, if your looking for tea go to Boise instead.",FALSE,"fact :: practical :: advice"
,,"This spot is adorable.",TRUE,"(none)"
,,"Upstairs, its a tea cafe - there is a downstairs area that's more of a dedicated wine bar.",TRUE,"fact :: practical"
,,"People are strewn around with laptops, books and there's a real intellectual feel here.",TRUE,"judgement :: positive"
,,"As far as tea goes, they have got it down pat and then some.",FALSE,"fact :: practical"
,,"Delicious green tea is everyone, from mango infused, coconut cream, tropical, sencha, and lemon.",TRUE,"judgement :: positive"
,,"If you drink black, herbal, white, or oolong you have a vast array to pick from as well.",TRUE,"fact :: practical"
,,"Great place away from the noise of 6th ave to escape to for a few hours.",TRUE,"judgement :: positive"
,,"It's not the best but it's definitely not the worst.",TRUE,"(none)"
,,"I'm not a big tea person so I might underappreciating it.",FALSE,"(none)"
,,"The ambience and crowd are both pluses.",TRUE,"judgement :: positive"
,,"Most of them are NYU students or faculty.",FALSE,"fact :: practical"
,,"It's not unusual to see a student sitting in the back, with his face reflecting his luminous laptop screen, looking frustrated on how to start the paper that's due in a few hours.",FALSE,"(none)"
,,"Apparently there is a Latin dance show that takes place in the later half of the evening downstairs that might bump up this review if I ever happen to catch the performance.",FALSE,"fact :: practical"
,,"All and all if you like tea and are in the area stop by and enjoy your time.",TRUE,"fact :: practical :: advice"
,,"These people treat their tea as if it were part of their religion.",TRUE,"fact :: trivia"
,,"I didn't make much of it, I had a green tea which tastes, quite honestly, as any other ordinary cup of tea.",FALSE,"judgement"
,,"Besides that, they have a great seating room downstairs which turns into a latin dance stage later on in the evening.",FALSE,"fact :: practical"
,,"Great place for a date, studying or just chatting with a friend.",TRUE,"judgement :: positive"
,,"They have great cookies!",TRUE,"judgement :: positive"
,,"They don't have every tea in stock so manage expectation!",TRUE,"fact :: practical :: alert"
,,"I have wanted to go here for years!",FALSE,"(none)"
,,"Very cute!",TRUE,"judgement :: positive"
,,"Got a evening tea and my friend got the honeybush tea, we both liked them a lot.",FALSE,"fact :: practical"
,,"The ambiance is adorable.",TRUE,"judgement :: positive"
,,"Would be a really cute place to enjoy some tea or wine during the day or the early evening.",TRUE,"judgement :: positive"
,,"I love the lights covered in plastic bags and the little lanterns on the table.",FALSE,"judgement :: positive"
,,"I went downstairs to use the restroom and noticed that they have seating in the basement.",FALSE,"fact :: practical"
,,"Very dark, but definitely a cool vibe.",TRUE,"judgement :: positive"
,,"I'm a fan!!",FALSE,"(none)"
,,"I hope the next time I come, they have more teas...seemed like 60% of the teas they offer, they were out of.",FALSE,"judgement"
,,"Pros:",FALSE,"(none)"
,,"not a bad place to study on weekdays, if you can get a seat",TRUE,"judgement :: positive"
,,"Cons:",FALSE,"(none)"
,,"tea is ridiculously overpriced.",TRUE,"judgement :: negative"
"#Golden Steamer",0.80,"they are out of stuff half the time.",FALSE,"fact :: practical"
,,"service is slow, bordering on incompetent.",TRUE,"judgement :: negative"
,,"Even if there are just two people in line, you'll wait for 15 minutes before you get waited on.",TRUE,"judgement"
"#Cocoron",1.00,"the Tea Spot to Wine Spot conversion on weekends is disruptive and annoying--and I can't imagine that it brings in that much money, from the reviews I am seeing",FALSE,"judgement"
,,"the awful music.",TRUE,"judgement :: negative"
,,"the hours: Yelp says they open at 9 am.",FALSE,"fact :: practical"
,,"I've walked past it several times between 10 and 11, and the ""closed"" sign was on the door. ""Open when we feel like it"", that would be more accurate.",FALSE,"judgement"
,,"useless website does not have their hours listed, either.",FALSE,"judgement"
,,"This is a great spot to grab a cup or pot of tea and relax with a book or friend.",TRUE,"judgement :: positive"
,,"Also, a great place to share a bottle of wine with a pal or two.",FALSE,"judgement :: positive"
,,"The music choice was a little questionable though....",TRUE,"judgement"
,,"I think it was a Gwen Stefani Pandora station or something of the sort, which didn't make for a relaxing tone.",FALSE,"(none)"
,,"A gazillion flavors of Iced Tea in the summer, all of which you can get at this little joint right by Wash Sq Park",TRUE,"judgement :: positive"
,,"No way!",FALSE,"(none)"
,,"I love love love coming here in the summer for a delicious fruit flavored freshly brewed iced tea, they have an amazing selection of teas and every one that I've tried is deelish.",TRUE,"judgement :: positive"
,,"While, it is a tad expensive for simply iced tea, in my opinion the ability to get any flavor of tea they have iced, is worth it.",TRUE,"fact :: practical"
,,"Plus kids, they've got the wireless internets here.",FALSE,"fact :: practical"
,,"Bonus!",FALSE,"(none)"
,,"Even though I live in Manahatta, everyone around me has their internet locked, what gives!",FALSE,"(none)"
,,"Yes, I admit it, until very recently I was *still* dialing up...",FALSE,"(none)"
,,"I live alone, internet is crazy expensive, and I am not about to take money out of my booze and clothes budget!",FALSE,"(none)"
,,"When I've gone, its rarely crowded so I can always find a table.",FALSE,"(none)"
,,"There are plenty of outlets to plug my baby into.",FALSE,"fact :: practical"
,,"Maybe I should have Yelped this from within the confines of this little gem?",FALSE,"(none)"
,,"They also have sandwiches and pastries, but this girl has never tried anything but their teas.",FALSE,"fact :: practical"
,,"Good customer service as well, they will held you find a tea that they know you will enjoy.",TRUE,"judgement :: positive"
,,"This isn't your typical tea parlor.",TRUE,"judgement :: positive"
,,"It has two levels with your typical coffee/tea bar upstairs and a wine bar downstairs.",TRUE,"fact :: practical"
,,"I didn't venture downstairs except to catch a glimpse of the flamenco dancer (this was on a Thursday night) which was fun to see, not something you come across everyday in Lower Manhattan.",FALSE,"fact :: practical"
,,"There can be a bit of a squeeze when getting into your seat as the tables are set pretty close together, which is par for the course I guess when you're in a converted Manhattan townhouse.",FALSE,"fact :: practical"
,,"The menu had a wide selection of teas, but I had to give them my 3rd choice as alot of the popular flavors were out.",FALSE,"fact :: practical"
,,"I tend to like ""fruity"" teas over the herbal ones and this one had them in spades.",FALSE,"fact :: practical"
,,"I had the tropical which was good.",FALSE,"judgement :: positive"
,,"The teas are currently $4 here which is may be high for some folks but at least then they are not in a hurry to kick you out.",TRUE,"fact :: practical"
"#Randolph Beer",1.00,"I was able to nurse two cups of tea for 2 hours without any disturbance, albeit there wasn't a line that night.",FALSE,"fact :: practical"
,,"My rating is slightly above 3 stars.",FALSE,"(none)"
,,"It's more than A-OK but it isn't good enough for me to keep coming here as a regular.",TRUE,"judgement"
,,"I love this place, and almost don't want to reveal it to others.",FALSE,"judgement :: positive"
,,"A friend told me about this little den of tea pots and typing students last year.",FALSE,"fact :: practical"
,,"The free Wi-Fi and vast selection of tea draw quite the crowd - especially during the final stretch (like now).",FALSE,"fact :: practical"
,,"We have immortalized the tea spot forever within my circle of friends with the verb, ""to teaspot."" (Typical usages include - ""hey, i'm teaspotting right now,"" which roughly translates to, ""hey, i'm really trying to get stuff done, but i'm most likely taking my 20 minute 'i'm going to surf the web' break."" - and these instances mostly take place on gmail chat with friends who are either across the table or in class - yes, free Wi-Fi is a glorious thing!)",FALSE,"fact :: practical"
,,"So, back to the reasons why this place is great.",FALSE,"(none)"
,,"For $4, you can get a whole pot of your favorite tea (I do that instead of the smaller blended things for better value, plus I'm not a fan of warm beverage concoctions - give me tea or give me coffee! no double vanilla skinny caramel gunk for me).",FALSE,"fact :: practical"
,,"The tea also stays warm for at least 2 or 3 hours while you immerse yourself in knowledge (I know since I was there for an epic day yesterday).",FALSE,"fact :: practical"
,,"Definitely bring headphones and your computer though.",TRUE,"fact :: practical :: advice"
"#Happy Bones NYC",1.00,"The downstairs is especially nice if you get the back corner right next to the plug and the fireplace (that's something challenging about teaspotting - the plugs are few and far between - and highly sought after, especially downstairs).",FALSE,"fact :: practical"
"#Happy Bones NYC",0.20,"Get there mid-day for the best chance of setting up camp in prime teaspot real estate.",TRUE,"fact :: practical :: advice"
,,"If you're prone to falling down stairs - STAY UPSTAIRS (and pee before you go there, since the bathrooms are underground)!",FALSE,"fact :: practical"
,,"Hmm, what else makes the teaspot such a fabulously trendy spot for the academics?",FALSE,"(none)"
"Tatiana Restaurant & Nightclub",0.75,"The staff is knowledgeable about what they sell.",TRUE,"judgement :: positive"
"Eleven Madison Park",0.90,"They're also pretty cool people for conversation.",FALSE,"judgement :: positive"
"Allswell",0.40,"That's about it...",FALSE,"(none)"
"Barbuto",0.80,"This place has it all: awesome service, great tunes, coffee, tea, ""bubbles"", pastries, tapas, free wi-fi and wine.",TRUE,"judgement :: positive"
"Epistrophy",0.80,"WINE.",FALSE,"(none)"
"Epistrophy",0.80,"Honestly, it just doesn't get any better.",FALSE,"(none)"
"Tony’s Di Napoli",0.80,"Tea Spot/Wine Spot is the perfect place to chill, enjoy a nice coffee and a delicious quality pastry, or to just surf the net, or meet up with friends in the downstairs space for a bite and drinks.",TRUE,"judgement :: positive"
"Tony’s Di Napoli",1.00,"Noisy beyond description.",TRUE,"fact :: practical :: alert"
"Tony’s Di Napoli",0.80,"Think endless tea varieties, french press coffee, quiches, pastries, desserts, paninis, etc.",TRUE,"judgement :: positive"
"Tony’s Di Napoli",0.80,"Wonderful, wonderful spot.",FALSE,"judgement :: positive"
"China Grill",0.40,"*bubbles: large tapioca balls, commonly found in Asian drinks, also referred to as ""pearls""",FALSE,"(none)"
"China Grill",0.20,"If you're like me, and prematurely ejaculate in your lucky boxers at the thought of being touched by a sensuous object...like Sencha green tea, then this place is for you.",FALSE,"(none)"
,,"Tea Spot is conveniently located nowhere near the UES [where I reside], but I was in the 'hood doing my semi-annual shaving-needs shopping @ C.O.",FALSE,"fact :: practical"
,,"Bigelow.",FALSE,"(none)"
,,"After the apothecary I dragged the girl to Mamoun's for a religious experience.",FALSE,"(none)"
,,"We left Mamoun's frozen through, sufficiently full, and stumbling toward the subway.",FALSE,"(none)"
,,"I jerked her arm in delight and we stopped in here.",FALSE,"(none)"
,,"I ordered 4 ounces of green Sencha with lemon, which was about $5 per ounce.",FALSE,"fact :: practical"
,,"The tea is something that I don't have to be ashamed about prematurely coming for, but I still deduct a star for the prices.",FALSE,"fact :: practical"
,,"Delicious tea, but as others have stated not such a wonderful variety.",FALSE,"fact :: practical"
,,"I don't care.",FALSE,"(none)"
,,"I'm happy.",FALSE,"(none)"
,,"I always get lucky in these boxers.",FALSE,"(none)"
,,"I have to thx our darling Maria M. for bringing me here last month while on a writing outing.... it's a warm and cozy place; the decor will immediately shush you. ""Sit down"" -it'll say, and you'll look around, legs quivering, to find all the little tables & chairs full and occupied by NYU busy-ppl, and busybodies.",FALSE,"fact :: practical"
"#Levain Bakery",1.00,"Wait!",FALSE,"(none)"
,,"There!",FALSE,"(none)"
,,"Maria, get those cushioned seats by the window....aaaahhhh.",FALSE,"(none)"
,,"Much better.",FALSE,"(none)"
,,"The wall behind the counter is saturated with cans upon cans of tea varieties; you ask the recommendations from the girl at the counter, and she'll immediately open the lid of one of the cans and prompt you: ""Go on, take a whiff"".",TRUE,"fact :: practical"
,,"I do.",FALSE,"(none)"
,,"I proceed to order the most caffeinated type they have... *sigh* -In vain, my veins & arteries cry ""espresso""",FALSE,"(none)"
,,"Suddenly, my eyes catch something odd: Taro shakes are advertised in a little blackboard.",FALSE,"(none)"
,,"Its rare for Taro shakes to exist on non Asian establishments.",FALSE,"(none)"
,,"I get one.",FALSE,"(none)"
,,"I like it, but it's not the real McKoy (and I meant that ""K"") Taro shakes belong in K-Town and Flushing.",FALSE,"judgement"
,,"But it's welcome to see them try.",FALSE,"(none)"
,,"I also order a turkey sandwich.",FALSE,"fact :: practical"
,,"Delish-catessen.",FALSE,"(none)"
"#Lula’s Sweet Apothecary",1.00,"Downstairs, a whole different environment exists.",FALSE,"fact :: practical"
,,"I can't quite put my finger to it; it was a weird mixture of a ""Rounders"" setting with a yellowish/orangine 70's press luncheon.",FALSE,"(none)"
,,"Perhaps the low ceiling had something to do with it....",FALSE,"(none)"
,,"1 star off out of wantoness; I want them to have COFFEE.",FALSE,"(none)"
,,"another star off because of the NYU factor, and perhaps for making me remember the sephia 70's of a miserable press luncheon.",FALSE,"(none)"
,,"Three, but in a glass-half-full kinda way =)",FALSE,"(none)"
,,"I have never felt this obligated to write a review.",FALSE,"(none)"
"#Tea Drunk",0.80,"Looking at the other reviews I cannot believe I had the experience I did, but I cannot tell a lie.",FALSE,"(none)"
,,"The other night my friend and I were looking for a quick spot to grab tea and a lite bite before heading to an event.",FALSE,"(none)"
,,"After referencing our trusty yelp app, we came across Tea Spot.",FALSE,"(none)"
,,"Our journey began after we walked in and who appeared the be the bartender pointed to the stair case and told us ""two people-downstairs.""",FALSE,"(none)"
,,"Thankfully the narrow staircase with half a balcony had some motion activated nightlights wrapped in paper bags to guide us to the dungeon...I mean basement.",FALSE,"(none)"
,,"The lamp in paper bag motif continues downstairs where the wall sconce's are also wrapped in paper bags.",FALSE,"(none)"
,,"Ambiance lighting maybe?",FALSE,"(none)"
,,"The rest of the restaurant wasn't set up any better with tightly placed tables, random pieces of furniture placed about the room and a fireplace that thankfully wasn't working as the room already had the heat pumping at double overtime.",FALSE,"judgement"
,,"From the signs and menus it appears Tea Spot also doubles as Wine Spot.",FALSE,"fact :: practical"
,,"There was a bar upstairs and we were provided with a full wine list upon our arrival.",FALSE,"fact :: practical"
,,"The disappointment came when despite being given a two page wine list we were told that they only had two wines available.",FALSE,"judgement"
,,"The wine list reflected the same thing with virtually every option having a line drawn through it.",FALSE,"(none)"
,,"How is that even possible?",FALSE,"(none)"
,,"There were a few highlights of this evening, hence the two stars.",FALSE,"(none)"
,,"My ice tea was flavorful and refreshing, served in a stemmed glass.",TRUE,"judgement :: positive"
,,"I can't say the same for my friends hot tea which tasted mostly like hot water and despite the Mr.",FALSE,"judgement"
,,"Coffee looking filter still was filled with tea leaves.",FALSE,"(none)"
,,"Needless to say she was less than impressed with the over sized coffee mug it was served it.",FALSE,"judgement"
,,"The assorted cheese plate we ordered was very good with a nice assortment of soft and hard cheeses and served with olive oil drizzled toast points.",FALSE,"judgement :: positive"
,,"There may have been a few high notes, but nothing enough to bring me back for another visit.",TRUE,"judgement"
,,"After a long internet courtship I finally managed to trap the lovely Aimee O. to meet up for a spot of tea.",FALSE,"(none)"
,,"My older sister immediately recommended the ""Tea Spot"" for our lovers' roundezvous, and she was right, it was perfect.",TRUE,"judgement :: positive"
,,"I arrived promptly at four and sent her a text",FALSE,"(none)"
,,"M: I'm outside",FALSE,"(none)"
,,"A:I'm sitting at a table in the back",FALSE,"(none)"
,,"I wiped my hands on my jeans and checked my hair for one last time before meeting my mistress.",FALSE,"(none)"
,,"Now anyone who hasn't met the lovely Aimee O. should know that she is tall; and she has the incredible ability of commanding an audience, that this is a woman with an amazing presence.",FALSE,"(none)"
,,"We immediately hugged, plopped ourselves down and yakked, until Aimee's PIC* Brett sauntered in and our small party was complete**.",FALSE,"(none)"
,,"The staff at the ""Tea Spot"" were extremely cordial letting the three of us sit and talk without buying anything for the better part of an hour, before someone finally chirped up ""Hey, should we get some tea?""",FALSE,"(none)"
,,"The Barista*** helped each of us pick our own tea and put up with my asking ""What about this one?.""",FALSE,"fact :: practical"
,,"Responding by pulling each of the teas' tins down and letting me stick my snout in it and get a whiff before I ended up choosing the ""Honeybush"" tea.",FALSE,"fact :: practical"
,,"The three of us got to gab, laugh, get some dating tips from Ms.",FALSE,"(none)"
,,"O, and bitch about our jobs.",FALSE,"(none)"
,,"Aimee is a sweet heart, and Brett a reconteur extraordinaire****",FALSE,"(none)"
,,"And the Tea Spot proved to make for a fantastic backdrop for any gathering or to just chill with your Yelp buddies.",TRUE,"judgement :: positive"
,,"*Partner in Crime, duh",FALSE,"(none)"
,,"**Ménage à trois?",FALSE,"(none)"
,,"***Or tea expert equivalent",FALSE,"(none)"
,,"****Swear it's in the man's blood, not just his reviews.",FALSE,"(none)"
,,"Expensive and weak",FALSE,"(none)"
,,"Can't believe they had the audacity to charge $7.50 for bubble tea.",FALSE,"judgement"
,,"I know this isn't chinatown but I wish it was because not only was the bubble tea more expensive but it was also VERY weak.",FALSE,"judgement :: negative"
,,"In fact we were not the only ones complaining about weak teas, the two ladies ahead of us did the same and after getting brewed a new pot, they had to change to a completely different type",FALSE,"judgement"
,,"Although we may be able to blame the type of tea, I noticed that the lady making the drinks barely gave the teas time to seep before adding ice.",FALSE,"judgement"
,,"Will definitely NOT be back!",FALSE,"(none)"
,,"Gone are the patrons and warm service... and I know why.",FALSE,"(none)"
,,"With very, very few good tasting and charming tea salons in NYC...",FALSE,"(none)"
,,"Why did this place go down hill?",FALSE,"(none)"
,,"Noticed some new changes here like the massive service counter that should belong in a franchise --Sad.",FALSE,"(none)"
,,"But what was really sad...",FALSE,"(none)"
,,"Was when I inquired about loose teas for purchase.",FALSE,"(none)"
,,"This person seemed to be annoyed to have to magnetically pull down the canisters in order for me to smell the goods.",FALSE,"(none)"
,,"Plus she was more interested in listening/answering in on the two businesslike men nearby.",FALSE,"(none)"
,,"What happened to customer service and only one other lone guy was there....",FALSE,"judgement"
,,"Forget this place --""Tea NOT"" --it's not the same (Can anyone tell me what happened to the Cool Italian Ladies?)",FALSE,"judgement"
,,"My first time here and during a weekday in the early evening, I have passed by this spot several times with the intention to check it out and it just so happens I was invited there for a collaboration.",FALSE,"fact :: practical"
,,"It was dimly lit which was a little unexpected, it's a tea shop so I figured it would be well lit for people who are studying, reading or relaxing.",FALSE,"fact :: practical"
,,"Great happy hour, I did not have tea I was tempted by the sangria and a bowl of truffle mac and cheese.",FALSE,"judgement :: positive"
,,"The seating was a bit tight and the food was ok, great spot to chat and catch up with friends.",TRUE,"fact :: practical"
,,"There is the wine spot downstairs I will have to return to see what that is all about.",TRUE,"fact :: practical"
,,"I host a bloggers meetup group and wasn't sure where to take them for our monthly meeting.",FALSE,"(none)"
,,"A friend suggested this place so I gave it a shot.",FALSE,"(none)"
,,"It was lovely!",TRUE,"judgement :: positive"
,,"We were able to take over a large corner upstairs and the tea was delicious.",FALSE,"judgement :: positive"
"#Tompkins Square Bagels",0.40,"They have bubble tea, which is a big plus in itself!",TRUE,"fact :: practical"
,,"I had the Thai kind and it was delicious.",FALSE,"judgement :: positive"
,,"A few weeks later, my parents came to visit and I brought them there for a quick cup of tea.",FALSE,"fact :: practical"
,,"My dad was amazed by the selection and it took him a while to figure out what kind of tea to buy.",TRUE,"judgement :: positive"
,,"It's a cute spot.",TRUE,"judgement :: positive"
,,"Very low-key and relaxed.",TRUE,"judgement :: positive"
,,"They have big tables downstairs for larger groups and the staff is cool about letting you hang out for a while.",TRUE,"judgement :: positive"
,,"*sigh* I'm in love...and not just with the cute barista here.",FALSE,"(none)"
,,"As someone who gave up coffee years ago because it always had to be chased with some Xanax, and as someone who studies best while surrounded by people, I'm always on the prowl for a good tea house in which I can settle for a good long while.",FALSE,"(none)"
"#Tompkins Square Bagels",1.00,"I used to come to Tea Spot just for a bit of tea-on-the-go.",FALSE,"(none)"
,,"Even though their prices have always been steep, I adored their incredible selection, extremely knowledgeable staff (when someone can give you an appropriate tea for sore throat, congestion, AND upset stomach, you're in the right place), and delicious cookies.",FALSE,"fact :: practical"
,,"Today, I finally stayed at Tea Spot to study.",FALSE,"fact :: practical"
,,"Per other Yelpers' suggestions, I opted for a pot of After Dark because it was the best value ($5 for about four cups of tea).",FALSE,"fact :: practical"
,,"As always, the tea was delicious, so this time I got to experience the atmosphere of the place: calm, jovial, comfortable, and inhabited by people bonding over their respective teas.",FALSE,"judgement :: positive"
,,"I didn't bring my laptop, but everyone else seemed satisfied with the free wifi even if I didn't see too many power outlets around.",FALSE,"fact :: practical"
,,"The back of Tea Spot is kind of dark, so if you want to read, try to stay at the front by the big windows or go down the steep stairs to the better-lighted basement.",TRUE,"fact :: practical :: advice"
,,"Just be careful, because those stairs are really steep; I stayed upstairs just because I was scared of dropping my pot of tea while walking down them.",TRUE,"fact :: practical :: alert"
"#Native Bean",0.60,"Bathroom Grade: 4/10.",FALSE,"(none)"
,,"I want to give the bathroom a much higher grade because it's really clean considering the fact that it's in the basement (I had nightmares of cockroaches, but not a single one was to be found), but I have to ask: why would a tea house have ONE bathroom?",FALSE,"judgement"
,,"ONE!",FALSE,"(none)"
,,"Ridiculous.",FALSE,"(none)"
,,"Very cozy little place, very friendly staff, and so many variations on tea!",TRUE,"judgement :: positive"
,,"A bit on the pricey side, and I was hoping for more of a pastry selection (granted, I did go on a Sunday night, but still).",FALSE,"judgement"
,,"Good if you're in the neighborhood and need a fireplace and hot cuppa tea, but not one of those destination spots... at least not yet....",TRUE,"fact :: practical"
,,"I come here maybe twice a month to stock up on their addictive (yet full of antioxidants) tiramisu mascarpone rooibos tea.",TRUE,"fact :: practical"
"#Cafe Pick Me Up",0.60,"As a sit and sip spot, I'd favor wine over tea.",TRUE,"fact :: practical"
,,"After having not been to Tea Spot for 4 or 5 years, a friend and I came here because it was a late July night at Washington Square Park and one of the cashier guys I recognized from Trader Joe's came over to us, stoned as a gourd, and to avoid having him eat our faces, we went over to Tea Spot.",FALSE,"(none)"
,,"Tea Spot is now hybrid-ed with Wine Spot, presumably to rake in more revenue given the recession and the non-lucrativeness of tea at 11PM.",TRUE,"fact :: trivia"
,,"I ordered a cup of tea for maybe 4.50 and sat downstairs with my friend and other revelers.",FALSE,"fact :: practical"
,,"I must admit it's a sexier place to have a glass of wine downstairs late at night -- this is also compounded by the fact that an ounce of the loose leaf tea I ordered costs 3.50.",FALSE,"fact :: practical"
,,"I stop in and order in bulk to go now.",FALSE,"(none)"
,,"Sweet staff -- one guy is kind of OCD and anal retentive, but overall, I'm happy that this place is still around.",TRUE,"judgement :: positive"
,,"When you come here, you are mostly paying for the atmosphere and their WiFi.",FALSE,"fact :: practical"
,,"I've been here a few times and this place isn't so much a tea place as it is a space to meet with friends or sit on your laptop.",TRUE,"fact :: practical"
,,"Their bubble tea had enough powder and sugar to put us into a coma, the congealed chunks of which would pack a punch after sipping through the straw.",TRUE,"judgement"
,,"The counterperson also seemed to be consistently mad at life.",FALSE,"(none)"
,,"But the basement downstairs is pretty cool.",FALSE,"judgement :: positive"
,,"It appears that many arent really buying the Tea Spot.",FALSE,"(none)"
,,"Perhaps the captious criticism is valid, but what I found divine about the Tea Spot was its color!",FALSE,"judgement :: positive"
,,"There was a tangible 'je ne sais quoi' about the color scheme.",FALSE,"(none)"
,,"I cant really recall or describe it, but the inside of the Tea Spot brightened my dreary mood.",FALSE,"(none)"
,,"Also, I felt the chairs were much more comfortable than those at most other coffee shops.",FALSE,"(none)"
,,"The waitress was really nice and left me sniff a whole variety of tea's before I selected any.",FALSE,"judgement :: positive"
"#O CAFE",0.40,"I got some Latte concoction.",FALSE,"(none)"
,,"Probably a mistake.",FALSE,"(none)"
,,"The milk being way too hot and im not a fan much of foam either.",FALSE,"judgement"
,,"On a last note, the bathroom nestled in the basement is fabulous.",TRUE,"judgement :: positive"
,,"I always will go back to any cafe with a bathroom nicer than my own!",FALSE,"(none)"
,,"Service was way too self-conscious, and the tea weak and overpriced.",TRUE,"judgement :: negative"
,,"Bubble tea had overcooked, mushy bubbles.",FALSE,"fact :: practical :: alert"
,,"Really, it gets so much better than this.",FALSE,"(none)"
,,"I live in the area, and this is my joint.",FALSE,"(none)"
,,"The staff is awesome, everyone is super friendy (and some pretty cute!) - they remember my ""regular"" and always chat me up.",TRUE,"judgement :: positive"
,,"My only complaints are the too steep prices ($6 for bubble tea?), but it IS good tea.",TRUE,"fact :: practical :: alert"
,,"And they aways seem to be out of this almond flavor I've been wanting to try, but that's forgivable haha.",FALSE,"(none)"
,,"Perks: Free wifi, fireplace downstairs (in the winter), cozy, good selection, great tea, great staff",TRUE,"judgement :: positive"
,,"Eh: Prices, sometimes tastes different depending who makes it",FALSE,"fact :: practical"
,,"I used to come here all the time when i lived in the village, and while the bubble tea wasnt exceptional, it is fairly difficult to find good bubble tea in NY, it was nearby, and really cute and quaint inside.",FALSE,"fact :: practical"
,,"Now having been back a few times 2 years later, I must say that the bubble tea is still average at best, and $8 for the large size.",FALSE,"fact :: practical"
,,"WTF are you kidding me?!",FALSE,"(none)"
,,"I can get happy hour beverages for half that.",FALSE,"(none)"
,,"Are the taro bubbles secretly hiding gold nuggets?",FALSE,"(none)"
,,"Despite my insane love for bubble tea, even when in the area I simply cannot justify spending over $8 with tax on a freaking average bubble tea.",FALSE,"judgement :: negative"
,,"For shame.",FALSE,"(none)"
,,"I decided to downgrade my review of this place when I realized the other day that I never go here anymore.",FALSE,"(none)"
,,"I don't even think of coming here, really.",FALSE,"(none)"
,,"Every time someone mentions it or I look on Yelp for something in the area on my list, I think of how awesome the Tea Spot used to be, which makes how unawesome it is now even more painful.",FALSE,"judgement :: negative"
